GENES,logFC,AveExpr,t,P.Value,adj.P.Val,B,Regulation,Entrez_ID
BCL2,0.46694542,10.84847522,5.014440084,9.59E-05,0.001999687,0.949321973,Up,596
BTK,0.333703631,10.90078448,3.642987259,0.001916457,0.018536876,-2.112223632,Up,695
C3,0.905175972,10.23641954,5.743902763,2.08E-05,0.000720775,2.753718968,Up,718
CCL2,-1.304738956,9.927877241,-5.154071853,7.12E-05,0.001529339,1.649950542,Down,6347
CCL4,-0.596973869,10.48288027,-4.206791198,0.000553119,0.007341403,-0.583137866,Down,6351
CD200,-0.529527649,10.19437891,-3.931083602,0.001015014,0.012656981,-1.0808397,Down,4345
CD274,0.808300149,10.03298199,4.497790437,0.000292519,0.004966025,0.199213227,Up,29126
CD40LG,0.71030676,10.46202755,4.217374519,0.000540408,0.00730552,-0.563175989,Up,959
CD44,-1.346632492,10.75175107,-10.82557988,3.28E-09,4.05E-07,11.44020863,Down,960
CD55,1.179479991,10.71198931,10.41986993,5.90E-09,6.16E-07,10.85724372,Up,1604
CD58,-0.905452267,10.63675387,-10.9433354,2.78E-09,4.05E-07,11.60994756,Down,965
CD83,-0.612774281,10.92562089,-7.258996719,1.08E-06,5.27E-05,5.481720014,Down,9308
CD9,0.595438972,11.08734127,5.573593024,2.96E-05,0.000929067,1.994271065,Up,928
CTLA4,-0.523141721,10.25249624,-3.924095065,0.001030781,0.012656981,-1.110604493,Down,1493
CXCL11,0.552168355,9.881599735,3.673732768,0.001790825,0.017908251,-1.537060227,Up,6373
CXCL2,-0.603680843,10.85463609,-3.847923653,0.001219397,0.013574736,-1.580921284,Down,2920
DDX58,0.404317684,10.50213653,4.302990563,0.000447845,0.006538543,-0.376020832,Up,23586
DUSP4,-0.83473107,10.16879084,-4.546208604,0.000263237,0.004686907,0.248930866,Down,1846
FADD,0.333737965,10.20628657,3.544125573,0.002382949,0.021323556,-1.90387442,Up,8772
GZMB,-0.511991591,10.63899576,-3.736747993,0.001558411,0.016023097,-1.685295742,Down,3002
ICAM1,-0.536637283,10.68154288,-4.403331674,0.000359518,0.005705393,-0.252877708,Down,3383
ICOSLG,-0.89344285,10.16540328,-7.767331825,4.30E-07,2.86E-05,6.644425155,Down,23308
IFI16,0.308020875,10.94534403,3.882907083,0.00112882,0.013079979,-1.628534547,Up,3428
IFI35,0.292603402,10.6617208,3.246111171,0.00458307,0.033794355,-2.768965935,Up,3430
IFNAR1,0.361230373,10.44560295,4.436044581,0.000334714,0.005429797,-0.058264881,Up,3454
IKBKB,0.305713385,10.70138198,3.89743841,0.001093207,0.013079979,-1.391364708,Up,3551
IL10,-0.499201915,10.02034114,-3.463972437,0.002842617,0.024413064,-2.031988376,Down,3586
IL1R1,-0.690042812,10.01833819,-5.169564719,6.89E-05,0.001529339,1.631367372,Down,3554
IL1RAP,-1.06066161,10.41092984,-6.99313533,1.78E-06,7.63E-05,5.168944133,Down,3556
IL23R,0.687033295,9.606113009,3.857552104,0.001193766,0.013574736,-1.051253021,Up,149233
IL32,-1.191733644,10.08005902,-7.170409756,1.28E-06,5.82E-05,5.586487057,Down,9235
IL34,0.90306262,10.09631039,5.320641023,5.01E-05,0.001406168,1.926659881,Up,146433
IL6,-1.424862271,9.454363108,-4.912671447,0.000119208,0.002351944,1.278692418,Down,3569
IRF2,0.277454045,10.85201314,4.438255221,0.000333101,0.005429797,-0.330029081,Up,3660
IRF3,0.28004859,10.51408585,3.359471183,0.003575914,0.028259511,-2.42512791,Up,3661
IRF7,0.223883803,10.79982434,3.120463098,0.006026374,0.042300511,-3.156199608,Up,3665
ITGA2,0.799361653,10.26937359,3.04333004,0.007123507,0.04814963,-3.019687324,Up,3673
ITGA6,0.326100222,10.6740911,3.043533988,0.007120364,0.04814963,-3.202836888,Up,3655
LGALS3,-0.331520638,11.04475511,-3.277185268,0.004282099,0.032569126,-3.025453057,Down,3958
LIF,-0.609559637,9.747416553,-3.590351718,0.002152231,0.02040427,-1.674214268,Down,3976
MAGEA1,0.935152583,9.18729147,3.639824998,0.001929867,0.018536876,-1.371380865,Up,4100
MAP2K4,0.339579083,10.51859482,3.91992733,0.0010403,0.012656981,-1.218125091,Up,6416
MAPK14,-1.255923725,10.52979204,-10.81568029,3.33E-09,4.05E-07,11.4333077,Down,1432
MEF2C,0.31797779,10.97674425,3.541787821,0.002395249,0.021323556,-2.399743331,Up,4208
NCF4,0.232060167,11.04861947,3.136759313,0.005816651,0.041224812,-3.34162769,Up,4689
NFKBIA,-0.248827916,11.39730182,-3.737089506,0.001557237,0.016023097,-2.316973661,Down,4792
PLAUR,-0.271404835,10.98274906,-3.22945179,0.004752887,0.034696077,-3.084396615,Down,5329
PRKCE,0.70602001,9.978755782,3.57202516,0.002240918,0.020707218,-1.780138113,Up,5581
REL,-0.468898547,10.72825902,-5.93856274,1.40E-05,0.000510549,2.982243219,Down,5966
RORA,-0.636605027,10.30213495,-4.277062065,0.000474047,0.006785381,-0.369549412,Down,6095
RUNX3,-0.305243933,10.80375876,-3.277082381,0.004283063,0.032569126,-2.816668619,Down,864
ST6GAL1,0.297596268,10.82825818,3.320813198,0.003892102,0.030225902,-2.747442166,Up,6480
THBS1,-0.648417037,10.91130775,-4.3041017,0.000446756,0.006538543,-0.61333872,Down,7057
TIRAP,0.369213637,10.16198799,3.721207746,0.001612768,0.01635168,-1.513085822,Up,114609
TLR10,0.615547718,10.66901673,7.580837493,6.01E-07,3.40E-05,6.204365323,Up,81793
TNFAIP3,-0.760031661,10.88990084,-8.475069331,1.26E-07,9.20E-06,7.715143659,Down,7128
TNFRSF1A,0.212752316,11.04836238,3.575258127,0.002225013,0.020707218,-2.398277903,Up,7132
TNFSF10,0.354518693,10.93536378,4.672832946,0.000199946,0.003841075,0.127296046,Up,8743
TNFSF13,0.4688188,10.78857759,3.427442919,0.003080266,0.025265104,-2.463271595,Up,8741
TNFSF8,-0.356079913,10.46004744,-3.246986532,0.004574314,0.033794355,-2.634806226,Down,944
VEGFA,-0.31291883,10.81566223,-3.043489825,0.007121044,0.04814963,-3.319558649,Down,7422
